id;titulo;genero;ano;duracao(min)
4047;Journey, The;Drama|Romance;1920;88
4048;Great Escape, The;Action|Adventure|Drama|War;1926;58
4049;Wendigo;Drama|Horror;1926;186
4050;Bats;Horror|Thriller;2002;210
4051;The Inspector;Drama|Romance;1947;123
4052;Faces of Death 3;Documentary|Horror;1938;155
4053;Captain Video: Master of the Stratosphere;Adventure|Sci-Fi;1924;190
4054;Thomas in Love (Thomas est Amoureux);Comedy|Drama;1915;177
4055;Tenth Man, The;Drama|War;1964;141
4056;The Night Evelyn Came Out of the Grave;Horror|Mystery;1980;62
4057;All the Right Moves;Drama|Romance;1946;188
4058;Ceremony;Comedy;1922;56
4059;Secret Life of Girls, The;Comedy;2017;119
4060;Ghost and Mr. Chicken, The;Comedy|Romance;1984;195
4061;Midnight Bayou;Drama|Mystery|Romance;1923;109
4062;Smilin' Through;Drama|Romance;1979;76
4063;Mighty Wind, A;Comedy|Musical;1935;84
4064;Up Periscope;Action|Drama|War;1979;68
4065;Two Sons of Francisco (2 Filhos de Francisco - A História de Zezé di Camargo & Luciano);Drama;2003;98
4066;Battle Royale 2: Requiem (Batoru rowaiaru II: Chinkonka);Action|Drama|Thriller|War;1948;95
4067;Son of Babylon (Syn Babilonu);Drama;1977;103
4068;Imaginaerum;Fantasy|Musical;1903;145
4069;Magic Trip;Documentary;1989;209
4070;Eleventh Hour, The;Action|Thriller;2005;129
4071;Agenda: Grinding America Down;Documentary;1933;132
4072;Park Avenue: Money, Power and the American Dream;Documentary;1907;131
4073;American Heist;Action;1975;152
4074;Yacoubian Building, The (Omaret yakobean);Drama;1917;90
4075;Tales from the Organ Trade;Crime|Documentary;2011;101
4076;Attack of the 50ft Cheerleader;Comedy;1987;73
4077;Snakes and Earrings (Hebi ni piasu);Drama|Thriller;1978;124
4078;Plácido;Comedy;1910;114
4079;Whoopi Goldberg Presents Moms Mabley;Documentary;1928;81
4080;Such Is Life (Así es la vida...);Drama|Romance;1986;205
4081;Henry Kissinger: Secrets of a Superpower (Henry Kissinger - Geheimnisse einer Supermacht);Documentary;1991;148
4082;Copenhagen;Adventure|Drama|Romance;1926;209
4083;Lady Sings the Blues;Drama|Musical;1954;98
4084;Bonjour Monsieur Shlomi (Ha-Kochavim Shel Shlomi);Comedy|Drama;1960;89
4085;House;Drama|Horror|Thriller;1956;169
4086;Chinese Coffee;Drama;2008;210
4087;P.U.N.K.S;Children|Comedy|Sci-Fi;1995;73
4088;Destiny in Space;Documentary|IMAX;1919;188
4089;Chantilly Lace;Drama;1984;59
4090;Eddie Izzard: Circle;Comedy;1937;111
4091;Confessions of a Gangsta;Action;1915;159
4092;Evil Cult, The (Lord of the Wu Tang) (Yi tian tu long ji: Zhi mo jiao jiao zhu);Action|Fantasy;1940;207
4093;His Girl Friday;Comedy|Romance;2017;146
4094;Claustrofobia;Thriller;1958;100
4095;Intohimon vallassa;Drama|Romance;1992;79
4096;KM 31: Kilometro 31;Horror;1975;61
4097;¡Alambrista! (Illegal, The);Drama;1917;55
4098;Ten Minutes Older;(no genres listed);1906;124
4099;Stranger in Me, The (Das Fremde in mir);Drama;1968;146
4100;Mozart's Sister (Nannerl, la soeur de Mozart);Drama|Romance;1933;83
4101;Spooky House;Children;1934;99
4102;End of the Affair, The;Drama;1968;56
4103;Alien Autopsy;Comedy|Sci-Fi;2007;93
4104;Broken Sky (El cielo dividido);Drama;1936;193
4105;A Year Along the Abandoned Road;(no genres listed);1947;123
4106;Chill;Horror|Mystery|Thriller;1927;128
4107;Ivul;Drama;1945;194
4108;Garage, The;Comedy;1952;75
4109;Fire Down Below;Action|Drama|Thriller;1939;114
4110;Yor, the Hunter from the Future;Sci-Fi;1967;190
4111;Are We There Yet?;Children|Comedy;1903;181
4112;District, The (Nyócker!);Animation|Comedy;1962;172
4113;Savannah;Drama|Romance;1914;149
4114;Please Vote for Me;Documentary;1951;104
4115;Gabriel;Action|Horror;1936;130
4116;Murder by Numbers;Crime|Thriller;1949;91
4117;Day and Night (Le jour et la nuit);Drama;2003;60
4118;Valentin (Valentín);Drama;1924;174
4119;Beautiful Girl;Drama;1932;149
4120;Bench, The (Bænken);Drama;1961;88
4121;Who's Your Caddy?;Comedy;2015;75
4122;Last Run, The;Action|Crime|Drama|Thriller;1982;99
4123;4th Floor, The;Thriller;1930;109
4124;Without Warning;Sci-Fi;1928;127
4125;History of the Eagles;Documentary;1943;176
4126;Women Without Men (Zanan-e bedun-e mardan);Drama;1975;179
4127;The Hyperboloid of Engineer Garin (Giperboloid inzhenera Garina);Sci-Fi;1955;50
4128;Metallica: Some Kind of Monster;Documentary;1940;172
4129;Book of Love;Comedy|Romance;1909;80
4130;Across the Line: The Exodus of Charlie Wright;Crime|Drama;1935;141
4131;Jeepers Creepers;Horror;1971;121
4132;The Loft;Thriller;1983;115
4133;Dracula: Pages from a Virgin's Diary;Horror|Mystery;1958;123
4134;Carnosaur 2;Horror|Sci-Fi;1908;205
4135;Grave Encounters;Horror;1933;64
4136;Docks of New York, The;Crime|Drama;2017;168
4137;Varsity Blues;Comedy|Drama;1972;178
4138;Two for the Money;Drama;2006;127
4139;976-EVIL;Horror;1998;66
4140;Disney Sing Along Songs: Under the Sea;Animation|Children|Musical;1966;165
4141;A Blank on the Map;Documentary;1938;113
4142;Barbie: A Fashion Fairytale;Animation|Children;1934;48
4143;All Together;Comedy|Drama;1936;170
4144;One and Only, The;Comedy|Romance;1953;53
4145;13 Tzameti;Film-Noir|Thriller;1997;55
4146;Television Under the Swastika (Das Fernsehen unter dem Hakenkreuz);Documentary;1914;144
4147;Off the Menu: The Last Days of Chasen's;Documentary;1952;187
4148;Avatar;Action|Adventure|Sci-Fi|IMAX;1991;120
4149;Crack-Up;Crime|Film-Noir|Mystery;1920;69
4150;Sodom and Gomorrah;Adventure|Drama;2001;154
4151;Live-In Maid (Cama adentro);Drama;1981;67
4152;Holly;Drama;2012;132
4153;Best Offer, The (Migliore offerta, La);Thriller;1989;131
4154;Educating Rita;Comedy|Drama;1967;207
4155;Mamitas;Drama;1995;179
4156;Tropical Malady (Sud pralad);Drama|Fantasy|Romance;1966;69
4157;Music Never Stopped, The;Drama;1938;166
4158;Autumn Heart, The;Drama;1967;122
4159;Cars;Animation|Children|Comedy;1950;160
4160;No Way to Treat a Lady;Crime|Drama|Thriller;1940;71
4161;Mariachi, El;Action|Crime|Thriller|Western;1929;124
4162;De nieuwe Wildernis;Documentary;1980;172
4163;Far Off Place, A;Adventure|Children|Drama|Romance;1931;119
4164;Happy End;Comedy;1991;104
4165;Blank City;Documentary;1903;183
4166;Nines, The;Drama|Mystery;1940;81
4167;Raven, The;Comedy|Horror;1938;194
4168;Tequila Sunrise;Action|Drama|Romance|Thriller;1917;201
4169;Ocean's Twelve;Action|Comedy|Crime|Thriller;1958;189
4170;Remember My Name;Drama|Thriller;1918;128
4171;Shut Up and Play the Hits;Documentary;2013;89
4172;Pig Hunt ;Action|Horror|Thriller;1918;125
4173;After You (Après vous...);Comedy|Romance;1914;73
4174;Seitsemän veljestä;Drama;2004;119
4175;Fabled;Drama|Mystery|Thriller;1944;154
4176;Dad;Drama;2009;124
4177;Fear No Evil;Horror;1937;163
4178;After Innocence;Crime|Documentary;1975;209
4179;Lost in the Desert;Adventure|Drama|Thriller;1977;60
4180;Sällskapsresan II - Snowroller;Comedy;1967;152
4181;Superman;Action|Adventure|Sci-Fi;1921;58
4182;Harry Potter and the Prisoner of Azkaban;Adventure|Fantasy|IMAX;2000;55
4183;Summer by the River, A (Kuningasjätkä);Drama;2016;74
4184;Pauline at the Beach (Pauline à la Plage);Comedy|Drama|Romance;2001;188
4185;Enemy Below, The;Action|Drama|War;1990;210
4186;Horton Hears a Who!;Adventure|Animation|Children|Comedy;1968;47
4187;Cops and Robbersons;Comedy;2015;99
4188;Revenge of the Green Dragons;Action|Crime|Drama;1942;107
4189;Cloudy with a Chance of Meatballs 2;Animation|Children|Comedy|Fantasy;1914;130
4190;3rd World Hero (Bayaning Third World);Drama;1966;105
4191;Bullfighters, The;Comedy|Musical;1936;66
4192;Twin Sisters (De tweeling);Drama|Romance|War;1926;146
4193;Femme Nikita, La (Nikita);Action|Crime|Romance|Thriller;1974;131
4194;Amar Akbar Anthony;Action|Comedy|Drama;1926;104
4195;Far From Home: The Adventures of Yellow Dog;Adventure|Children;1907;88
4196;Good Neighbours (a.k.a. Good Neighbors);Crime|Thriller;2016;84
4197;Hostel;Horror;1916;110
4198;Licence to Kill;Action|Adventure|Thriller;1941;180
4199;Sixpack (Pussikaljaelokuva);Comedy|Drama;1965;121
4200;Alpha and Omega 2: A Howl-iday Adventure (Alpha & Omega 2);Action|Adventure|Animation|Children|Comedy;2012;48
4201;Outskirts (Okraina);Drama|War;1994;129
4202;Major Movie Star;Adventure|Comedy|Drama|War;1970;146
4203;Officer and a Gentleman, An;Drama|Romance;1943;148
4204;Little City;Comedy|Romance;1954;167
4205;Dark Touch;Horror;1942;181
4206;Boy with Green Hair, The;Children|Drama;1953;115
4207;Love Hina Christmas Special: Silent Eve (Rabu Hina kurisumasu supesharu: Sairento ivu);Animation|Comedy|Romance;1995;87
4208;Star Wars: Episode IV - A New Hope;Action|Adventure|Sci-Fi;2010;105
4209;Operator 13;Drama|Romance|War;1933;165
4210;The Four Feathers;Adventure|Drama|Romance|War;1951;45
4211;30 Minutes or Less;Action|Comedy|Crime;1954;109
4212;Repo Men;Action|Sci-Fi|Thriller;1992;202
4213;Country Life;Drama|Romance;2016;63
4214;The Expelled;Horror|Thriller;2013;121
4215;Gurren Lagann: Childhood's End (Gekijô ban Tengen toppa guren ragan: Guren hen);Adventure|Animation|Drama|Sci-Fi|War;1934;78
4216;Kim;Children|Drama;1991;148
4217;Good Evening, Mr. Wallenberg (God afton, Herr Wallenberg);Drama|War;1905;45
4218;SIS;Action|Crime|Drama|Thriller;1945;56
4219;Buffalo Bill;Western;1977;134
4220;Road Games (a.k.a. Roadgames);Thriller;1906;88
4221;Wash, The;Comedy;1969;122
4222;Battle of the Rails, The (La bataille du rail);Drama|War;1920;60
4223;Something in the Wind;Comedy|Musical;1991;177
4224;Infernal Affairs III (Mou gaan dou III: Jung gik mou gaan);Action|Crime|Drama|Thriller;1999;97
4225;Sliver;Thriller;1968;131
4226;Castle on the Hudson;Crime|Drama;1915;71
4227;Betrayed;Drama|Thriller;1949;77
4228;Groundstar Conspiracy, The;Action|Crime|Mystery|Romance|Sci-Fi|Thriller;1904;161
4229;36 Hours;Thriller|War;1952;197
4230;Wish You Were Here;Drama|Mystery;1974;71
4231;People vs. Larry Flynt, The;Comedy|Drama;1915;76
4232;Last American Hero, The;Action|Drama;1976;197
4233;Laramie Project, The;Crime|Drama;1962;120
4234;Troop Beverly Hills;Comedy;1916;190
4235;The Horribly Slow Murderer with the Extremely Inefficient Weapon;Comedy|Horror;1990;161
4236;Never Again;Comedy|Romance;1937;199
4237;One Piece Film Z;Action|Adventure|Animation|Fantasy;1928;62
4238;Bluebeard (Barbe-Bleue);Fantasy;1903;165
4239;Something Is Happening (Kuch Kuch Hota Hai);Comedy|Musical|Romance;1927;205
4240;McCullochs, The;Drama;1919;115
4241;Ghostmaker, The (Box of Shadows);Horror|Sci-Fi|Thriller;2006;202
4242;Knockout;Action|Drama;1944;118
4243;Roman;Drama|Thriller;1955;88
4244;September;Drama;1948;190
4245;Once Upon a Time in Phuket (En gång i Phuket);Comedy;1924;125
4246;Trauma;Horror|Mystery|Thriller;1949;109
4247;Dead Calling, A;Horror;1909;184
4248;The Body;Mystery|Thriller;1977;109
4249;Dragonball Evolution;Action|Adventure|Fantasy|Sci-Fi;1966;95
4250;Daybreakers;Action|Drama|Horror|Thriller;1900;121
4251;Midnight Madness;Comedy;1956;108
4252;Jack-Jack Attack;Adventure|Animation|Children|Comedy;1988;132
4253;Broadway Melody of 1940;Musical;2004;110
4254;The Stranger's Return;Comedy|Drama;1950;134
4255;Muscle Shoals;Documentary;2015;106
4256;Blinkity Blank;Animation;1931;56
4257;Character (Karakter);Drama;1923;59
4258;Incubus, The;Horror|Thriller;1956;52
4259;LennoNYC;Documentary;1997;66
4260;Bounty Killer;Action|Sci-Fi|Thriller;1950;95
4261;Bashu, the Little Stranger (Bashu, gharibeye koochak);Drama;1967;162
4262;Sebastiane;Drama|Thriller;1932;85
4263;Ketchup Effect, The (Hip Hip Hora!);Drama;1956;103
4264;Belle comme la femme d'un autre;Comedy;1978;92
4265;Reconstruction (Anaparastasi);Crime|Drama;1939;169
4266;Smokey and the Bandit II;Action|Comedy;1952;137
4267;Oily Maniac, The (You gui zi);Horror;1972;142
4268;Allnighter, The;Comedy|Romance;1957;107
4269;Undertaking Betty (Plots with a View);Comedy|Romance;2011;54
4270;The Last Gladiators;Documentary;1957;102
4271;Loaded;Action|Crime|Drama|Thriller;1963;152
4272;Pascali's Island;Drama;1988;204
4273;Acacia;Horror;2005;96
4274;Rhapsody in Blue;Drama|Musical;1937;109
4275;Kilometre Zero (Kilomètre zéro);Drama|War;2005;149
4276;Double, Double, Toil and Trouble;Adventure|Children|Comedy|Fantasy|Horror;2014;203
4277;Let It Be;Documentary;1951;189
4278;Rome, Open City (a.k.a. Open City) (Roma, città aperta);Drama|War;1963;49
4279;Winter of Discontent;Drama;1955;155
4280;Bang;Crime|Drama;2015;192
4281;At Midnight I'll Take Your Soul (À Meia-Noite Levarei Sua Alma);Horror;1907;116
4282;About Time;Drama|Fantasy|Romance;1999;136
4283;Once Upon a Time in China III (Wong Fei-hung tsi sam: Siwong tsangba);Action;1930;193
4284;Billabong Odyssey;Documentary;2014;59
4285;Venus;Drama|Romance;1945;64
4286;Lost for Life;Crime|Documentary;1953;156
4287;Little Dorrit;Drama|Romance;1903;114
4288;Dark Half, The;Horror|Mystery;1935;97
4289;Me and the Colonel ;Comedy|War;2013;57
4290;Godfather: Part III, The;Crime|Drama|Mystery|Thriller;1906;56
4291;Music Room, The (Jalsaghar);Drama;1996;89
4292;French Cancan;Comedy|Drama|Musical|Romance;1947;103
4293;Conversations with My Gardener (Dialogue avec mon jardinier);Comedy|Drama;2010;193
4294;Small Town Gay Bar;Documentary;1951;141
4295;Affliction;Drama;1975;73
4296;Lone Star;Drama|Mystery|Western;1949;48
4297;Amelie (Fabuleux destin d'Amélie Poulain, Le);Comedy|Romance;1943;60
4298;Trailer Park Boys: Live at the North Pole;Comedy;1931;123
4299;Northeast;Drama;1927;106
4300;Real Life;Comedy;1913;142
4301;Personal History, Adventures, Experience, & Observation of David Copperfield the Younger, The (a.k.a. David Copperfield);Adventure|Drama|Romance;2018;193
4302;Dolce Vita, La;Drama;1959;113
4303;Staying Together;Comedy|Drama;1930;137
4304;Chinese Odyssey 2002 (Tian xia wu shuang);Action|Comedy|Romance;1983;109
4305;Tekken;Action|Sci-Fi;1954;51
4306;Paths of Glory;Drama|War;1987;190
4307;Electric Boogaloo: The Wild, Untold Story of Cannon Films;Comedy|Documentary;1951;171
4308;Marsh, The;Horror|Thriller;1979;70
4309;Sex and Zen (Rou pu Tuan zhi tou Qing bao Jian);Action|Adventure|Comedy|Fantasy;1955;190
4310;Killjoy Goes to Hell;Comedy|Horror;1953;151
4311;Vivacious Lady;Comedy|Romance;1967;45
4312;Case Against 8, The;Documentary;1905;148
4313;Big Trail, The;Adventure|Romance|Western;1961;115
4314;Kurt & Courtney;Documentary;1998;56
4315;Miss Farkku-Suomi;Drama|Romance;1918;151
4316;Return of the Living Dead, The;Comedy|Horror|Sci-Fi;1962;141
4317;Sneakers;Action|Comedy|Crime|Drama|Sci-Fi;1965;187
4318;Green Hornet, The;Action|Comedy|Crime|Fantasy|Thriller|IMAX;1999;141
4319;Other Guys, The;Action|Comedy;1940;151
4320;Begin Again;Comedy|Romance;1995;89
4321;Confetti;Comedy;1901;107
4322;Passionada;Comedy|Romance;1919;187
4323;Four Nights with Anna (Cztery noce z Anna);Crime|Drama|Thriller;2013;185
4324;Björk: Volumen;Animation|Musical;1914;137
4325;Across the Bridge;Crime|Drama|Thriller;1954;141
4326;Excess Baggage;Adventure|Romance;2017;63
4327;Carriers Are Waiting, The (Convoyeurs attendent, Les);Comedy|Drama;2007;156
4328;Trials of Henry Kissinger, The;Documentary;1907;48
4329;Killing Floor, The;Crime|Horror|Mystery;2010;58
4330;Exterminator, The;Action|Crime|Thriller|War;1986;184
4331;Tender Is the Night;Drama;1904;98
4332;Boys Don't Cry;Drama;1911;168
4333;Margaret;Comedy|Drama|Romance;1900;50
4334;Go;Drama;1998;156
4335;Thank You for Smoking;Comedy|Drama;1902;155
4336;French Kiss;Action|Comedy|Romance;2014;150
4337;How to Marry a Millionaire;Comedy|Drama|Romance;1936;142
4338;City of Women, The (Città delle donne, La);Comedy|Drama;1908;79
4339;Dragon Seed;Drama;2014;45
4340;Hunters, The (Jägarna);Crime|Thriller;1964;95
4341;Second Man, The (O Defteros Andras);Drama;1917;126
4342;Highly Dangerous;Action|Thriller;1915;117
4343;Prisoner of Shark Island, The;Drama;1999;94
4344;Dear Wendy;Drama;1992;173
4345;Simple-Minded Murder, The (Enfaldige mördaren, Den);Drama;1938;90
4346;What A Man;Comedy|Romance;1958;95
4347;Housekeeping;Comedy|Drama;2007;65
4348;Motel Hell;Comedy|Horror;1940;46
4349;RKO Production 601: The Making of 'Kong, the Eighth Wonder of the World';Documentary;2002;66
4350;Beat That My Heart Skipped, The (battre mon coeur s'est arrêté, De);Drama;1944;59
4351;Dressed to Kill;Mystery|Thriller;1970;115
4352;Pretty Sweet;Documentary;1948;71
4353;Star, The;Drama;2001;143
4354;Night of Dark Shadows;Drama|Horror|Mystery|Romance|Thriller;1938;201
4355;First Deadly Sin, The;Thriller;1987;210
4356;Two Cents Worth of Hope (Due soldi di speranza);Comedy|Romance;2013;57
4357;The Mark of Cain;Documentary|Drama;2003;63
4358;God's Not Dead;Drama;1921;119
4359;Episode 3: Enjoy Poverty;Documentary|War;1914;82
4360;American Swing;Documentary;1963;48
4361;Kozara;Drama|War;1995;140
4362;Lauderdale (a.k.a. Spring Break USA) (a.k.a. Spring Fever USA);Comedy;1969;85
4363;Gitmek: My Marlon and Brando (Gitmek: Benim Marlon ve Brandom);Drama|Romance|War;1944;119
4364;Very Social Secretary, A;Comedy|Drama;1993;157
4365;Extracted;Drama|Sci-Fi;1926;110
4366;Declaration of War (La Guerre est Déclarée);Drama;1962;63
4367;Electric Dreams;Comedy|Drama|Romance|Sci-Fi;1916;179
4368;Fat Albert;Comedy|Fantasy;2010;175
4369;Company of Wolves, The;Fantasy|Horror;1931;96
4370;God on Trial;Drama;1903;77
4371;Occupants, The;Thriller;1991;91
4372;Moment of Truth, The (Il momento della verità);Drama;1991;170
4373;Whom the Gods Wish to Destroy (Nibelungen, Teil 1: Siegfried, Die);Adventure|Fantasy;1994;152
4374;Which Way Is Up?;Comedy;2018;100
4375;Terms of Endearment;Comedy|Drama;1994;51
4376;Election (Hak se wui);Crime|Drama|Thriller;2014;135
4377;Don't Come Knocking;Drama|Western;1983;104
4378;Little Man;Comedy;1935;115
4379;Red Like the Sky (Rosso come il cielo);Drama;1944;79
4380;Arrival II;Action|Adventure|Sci-Fi;2009;180
4381;Rick;Comedy|Drama;2011;62
4382;Beast with Five Fingers, The;Horror;1911;151
4383;Intruder in the Dust;Drama;1957;88
4384;Two Loves;Drama;1916;196
4385;Women in Trouble;Comedy;1912;199
4386;Mackintosh Man, The;Action|Drama|Thriller;1923;109
4387;Premiers désirs;Drama|Romance;1970;156
4388;Party Girl;Comedy;2003;54
4389;Wilder Napalm;Comedy|Fantasy|Romance;1969;91
4390;Hell Is for Heroes;Drama|War;1980;141
4391;The Harmony Game;Documentary;2007;72
4392;This American Journey;Documentary;2018;134
4393;RoboCop 2;Action|Crime|Sci-Fi|Thriller;1927;91
4394;How to Make Money Selling Drugs;Documentary;2003;98
4395;The Front;Crime|Drama|Mystery;1975;59
4396;Bless the Child;Thriller;1970;55
4397;Kick-Ass 2;Action|Comedy|Crime;1947;161
4398;Original Gangstas;Crime;1932;104
4399;Cameraman, The;Comedy|Drama|Romance;1936;177
4400;Civic Duty;Drama|Thriller;1995;180
4401;Killing Season;Action|Thriller;1991;100
4402;Cube Zero;Horror|Mystery|Sci-Fi|Thriller;1980;105
4403;Nowhere in Africa (Nirgendwo in Afrika);Drama;1922;122
4404;Good Boy!;Children|Comedy|Sci-Fi;1909;71
4405;Gnome-Mobile, The;Adventure|Children|Fantasy|Musical;1937;137
4406;Corpo Celeste;Drama;1936;74
4407;Look of Silence, The;Documentary;1964;146
4408;Fire of Conscience (For lung);Action|Crime|Mystery|Thriller;1965;204
4409;Guardian, The;Action|Adventure|Drama;1906;147
4410;Repossessed;Comedy;1928;144
4411;Crime Story (Zhong an zu);Action|Crime|Drama;2012;138
4412;Magic of Belle Isle, The;Comedy|Drama;1966;79
4413;Inside Man;Crime|Drama|Thriller;2018;135
4414;Shadow Magic;Drama|Romance;1972;62
4415;Female Vampire (Les avaleuses) (Erotic Kill);Horror;1983;130
4416;Rage of Angels: The Story Continues;Drama;1996;59
4417;Toolbox Murders;Horror|Mystery;1915;201
4418;Troll in Central Park, A;Animation|Children;1903;46
4419;Triumph of the Spirit;Drama;1977;204
4420;And So It Is;Drama;1965;126
4421;Heavens Fall;Drama;1924;162
4422;Worthless, The (Arvottomat);Crime|Drama;1925;115
4423;Inbetween Worlds;Drama;2013;121
4424;From Morn to Midnight (Von morgens bis Mitternacht);Crime|Drama;1966;103
4425;Griffin and Phoenix;Drama;1968;57
4426;Dr. Dolittle: Tail to the Chief;Children|Comedy|Fantasy;1908;64
4427;Red: Werewolf Hunter;Action|Fantasy|Horror;1958;195
4428;Vermont Is For Lovers;Comedy|Documentary|Romance;1973;125
4429;Blue Steel;Action|Thriller;1921;108
4430;Vertigo;Drama|Mystery|Romance|Thriller;1973;139
4431;Day the Sun Turned Cold, The (Tianguo niezi);Drama;1901;106
4432;Submarino;Drama;1909;136
4433;Mayday at 40,000 Feet!;Adventure;1907;104
4434;Mi Amigo Hugo;Documentary;1986;61
4435;The 11 Commandments;Comedy;1986;46
4436;More About the Children of Noisy Village (a.k.a. More About the Children of Bullerby Village) (Mer om oss barn i Bullerbyn);Children;1904;84
4437;Galician Caress (Of Clay);Documentary;1968;182
4438;Last Stand At Saber River;Western;2011;83
4439;See You Next Tuesday;Comedy|Drama;1948;200
4440;All the Little Animals;Drama|Thriller;2013;205
4441;Farewell to Matyora;Drama;2005;99
4442;Comme un chef;Comedy;1905;181
4443;Embodiment of Evil (Encarnação do Demônio);Mystery;2003;208
4444;Silence, The (Tystnaden);Drama;1909;115
4445;Secret, The;Documentary;1915;54
4446;The Walking Hills;Western;1946;84
4447;Ghosts (Gespenster);Drama;1945;157
4448;Crazies, The;Action|Drama|Horror|Sci-Fi|Thriller;1992;145
4449;Indochine;Drama|Romance;1980;173
4450;Mr. Nanny;Action|Children|Comedy;1995;190
4451;Have Rocket, Will Travel;Comedy|Sci-Fi;1965;152
4452;Cocaine Cowboys II: Hustlin' With the Godmother;Crime|Documentary;1970;155
4453;Five Children and It;Adventure|Children|Fantasy;1928;85
4454;Hi-Lo Country, The;Drama|Romance|Western;1934;162
4455;What If... (An...);Drama|Romance;1979;210
4456;Mistress America;Comedy;1936;84
4457;Cross of Iron;War;2011;66
4458;Brief History of Time, A;Documentary;1988;174
4459;Deep Blue Sea, The;Drama|Romance;1955;82
4460;Wedding Belles;Comedy|Drama;1942;128
4461;Escapist, The;Thriller;1909;192
4462;Cry of the City;Crime|Drama;1988;103
4463;Coco Chanel;Romance;2018;46
4464;Radiohead: Meeting People Is Easy;Documentary;1900;68
4465;Muriel's Wedding;Comedy;1962;133
4466;Cinderella Liberty;Drama|Romance;1948;202
4467;Kosmos;Drama;2018;98
4468;Chained;Horror|Thriller;1951;48
4469;All Dogs Go to Heaven;Animation|Children|Comedy|Drama|Fantasy;1936;170
4470;44500 Max;Documentary;1911;199
4471;Onechanbara - Zombie Bikini Squad (a.k.a. Oneechanbara: The Movie);Action|Horror;1908;150
4472;Afterglow;Drama|Romance;1964;100
4473;Badlanders, The;Romance|Western;1966;201
4474;Julien Donkey-Boy;Drama;1900;57
4475;Written on the Wind;Drama;2010;151
4476;Bright Lights, Big City;Drama;2001;139
4477;Bo Burnham: what.;Comedy;1954;189
4478;Sicilian, The;Crime|Drama;2009;102
4479;Kleines Arschloch - Der Film;Animation|Comedy;1903;209
4480;Interview, The;Crime|Drama|Mystery|Thriller;1918;138
4481;Camille Rewinds;Comedy|Romance;1918;54
4482;Amazing Grace and Chuck;Drama;1955;97
4483;West of Zanzibar;Drama|Mystery;2017;45
4484;Story of My Life, The (Mensonges et trahisons et plus si affinités...);Comedy|Romance;1960;199
4485;Cell 2, The;Horror|Sci-Fi|Thriller;1913;59
4486;Vera Cruz;Adventure|Western;1925;76
4487;Long John Silver;Action|Adventure;2004;110
4488;Protocols of Zion;Documentary;2004;144
4489;June 9 ;Horror|Mystery|Thriller;1928;148
4490;Inner Life of Martin Frost, The;Comedy|Drama;1990;79
4491;Tenebre;Horror|Mystery|Thriller;1922;161
4492;Hunger (Sult);Drama;1947;177
4493;So It Goes (Korsoteoria);Drama;1943;152
4494;Tapeheads;Comedy;1942;165
4495;Friday After Next;Comedy;1907;115
4496;Father and Son (Otets i syn);Drama;1909;207
4497;Prelude to War (Why We Fight, 1);Documentary|War;1997;166
4498;Bloody Bloody Bible Camp;Comedy|Horror;2000;91
4499;The Salt of the Earth;Documentary;1955;181
4500;Dirt Bike Kid, The;Children|Comedy|Fantasy;2017;60
4501;Big Night;Comedy|Drama;1966;103
4502;Kaena: The Prophecy (Kaena: La prophétie);Action|Adventure|Animation|Children|Sci-Fi;1902;87
4503;Holiday Engagement;Comedy;1986;210
4504;Household Saints;Drama;1909;208
4505;Ghost Machine;Action|Sci-Fi|Thriller;1989;127
4506;Reminiscences of a Journey to Lithuania;Documentary;1932;187
4507;Metropia;Animation|Sci-Fi;1960;92
4508;Heavenly Body, The;Comedy|Romance;1911;49
4509;Delicate Delinquent, The;Comedy;1940;53
4510;Moonlighting;Drama;1956;207
4511;Dark Shadows;Comedy|Horror|IMAX;2003;111
4512;Tooth Fairy 2;Children|Comedy;1992;188
4513;Grosse Pointe Blank;Comedy|Crime|Romance;2001;74
4514;Doubt;Drama|Mystery;1918;202
4515;MacGyver: Lost Treasure of Atlantis;Action|Adventure;1937;90
4516;Shape of Things to Come, The;Sci-Fi;1900;114
4517;Angie;Comedy|Drama|Romance;1998;64
4518;Young & Beautiful;Drama;1936;180
4519;Ponette;Drama;1938;141
4520;Black Box, The (La boîte noire);Mystery|Thriller;1949;107
4521;H.M. Pulham, Esq.;Drama|Romance;2010;170
4522;He's Just Not That Into You;Comedy|Drama|Romance;1957;170
4523;Crossing Delancey;Comedy|Romance;1974;102
4524;8 1/2 (8½);Drama|Fantasy;1970;60
4525;Forgotten, The;Drama|Mystery|Sci-Fi|Thriller;1970;109
4526;Because of Winn-Dixie;Children|Comedy|Drama;1987;203
4527;Tru Confessions;Children|Comedy|Drama;1915;110
4528;Spanglish;Comedy|Drama|Romance;1936;173
4529;Robocroc;Action|Horror;2016;165
4530;Le ultime ore di una vergine;(no genres listed);1966;139
4531;Asterix and the Big Fight (Astérix et le coup du menhir);Adventure|Animation|Children|Comedy;1977;147
4532;Memphis Belle: A Story of a Flying Fortress, The;Documentary|War;2008;188
4533;Sylvia Scarlett;Comedy|Drama|Romance;1994;159
4534;Girl Model;Documentary;1906;192
4535;Last Flight of Noah's Ark, The;Adventure|Children|Comedy;1991;78
4536;Man of the West;Western;1907;200
4537;Ciao, Professore! (Io speriamo che me la cavo);Drama;1973;194
4538;Whales of August, The;Drama;1940;185
4539;Gamera vs. Jiger;Action|Fantasy|Sci-Fi;1901;164
